,Film_title,Director,Average_rating,Genres,Runtime,Original_language,Description,Studios,Watches,List_appearances,Likes,Fans,Lowest★,Medium★★★,Highest★★★★★,Total_ratings
9509,Final Destination 2,David R. Ellis,2.91,"['Mystery', 'Horror']",90.0,English,"When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.","['New Line Cinema', 'Zide-Perry Productions']",422103,58691,62635,397,5423,80003,11424,248209
9510,Batman: The Doom That Came to Gotham,"Sam Liu, Christopher Berkeley",2.9,"['Animation', 'Action', 'Mystery', 'Fantasy']",86.0,English,"Explorer Bruce Wayne accidentally unleashes an ancient evil, and returns to Gotham after being away for two decades. There, Batman battles Lovecraftian supernatural forces and encounters allies and enemies such as Green Arrow, Ra's al Ghul, Mr. Freeze, Killer Croc, Two-Face and James Gordon.","['DC Entertainment', 'Warner Bros. Animation']",20183,8161,3958,4,400,5085,362,16096
9511,Highlander,Chad Stahelski,3.2685351873474158,"['Action', 'Fantasy', 'Adventure']",103.16833466773419,English,An immortal Scottish swordsman faces off with other immortal warriors in order to obtain a coveted ability; Mortality.,"['Summit Entertainment', 'Original Film', 'RCR Media Group', '87Eleven']",254,813,73,0,0,0,0,0
9512,Kung Pow: Enter the Fist,Steve Oedekerk,3.27,"['Action', 'Comedy']",81.0,English,"A movie within a movie, created to spoof the martial arts genre. Writer/director Steve Oedekerk uses contemporary characters and splices them into a 1970s kung-fu film, weaving the new and old together. As the main character, The Chosen One, Oedekerk sets off to avenge the deaths of his parents at the hands of kung-fu legend Master Pain. Along the way he encounters some strange characters.","['O Entertainment', '20th Century Fox']",71590,10705,16629,639,1736,8800,5741,41023
9513,Live Free or Die Hard,Len Wiseman,2.92,"['Action', 'Thriller']",128.0,English,"John McClane is back and badder than ever, and this time he calls on the services of a young hacker in his bid to stop a ring of Internet terrorists intent on taking control of America's computer infrastructure.","['Dune Entertainment', 'Cheyenne Enterprises', 'Wintergreen Productions', '20th Century Fox', 'Ingenious Media']",227849,24609,22949,95,4134,35875,2838,121286
9514,The Matrix Resurrections,Lana Wachowski,2.7,"['Adventure', 'Science Fiction', 'Action']",147.0,English,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.","['Warner Bros. Pictures', 'Village Roadshow Pictures', 'Venus Castina Productions']",607556,79000,90063,259,31192,91791,14530,418503
9515,Day Shift,J.J. Perry,2.64,"['Fantasy', 'Comedy', 'Thriller', 'Horror', 'Action']",113.0,English,An LA vampire hunter has a week to come up with the cash to pay for his kid's tuition and braces. Trying to make a living these days just might kill him.,"['87Eleven', 'Impossible Dream Entertainment']",129517,20175,19736,30,3636,29969,2036,98036
9516,Mighty Morphin Power Rangers: Once & Always,Charlie Haskell,2.62,"['Action', 'Adventure', 'Science Fiction', 'Family']",59.0,English,"After tragedy strikes, an unlikely young hero takes her rightful place among the Power Rangers to face off against the team's oldest archnemesis.","['Toei Company', 'Entertainment One']",14823,3560,3264,4,810,3131,561,11958
9517,2nd Chance,Ramin Bahrani,3.35,"['History', 'Documentary']",89.0,English,"In 1969, bankrupt pizzeria owner Richard Davis invented the modern-day bulletproof vest. To prove that it worked, he shot himself — point-blank — 192 times.","['Noruz Films', 'Vespucci', 'Endeavor Content', 'Samuel Marshall Productions']",2228,1217,402,1,9,501,29,1561
9518,Ghosted,Dexter Fletcher,2.14,"['Romance', 'Action', 'Comedy']",117.0,English,"Salt-of-the-earth Cole falls head over heels for enigmatic Sadie—but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.",['Skydance Media'],129456,22366,14358,44,11300,18954,2699,100908
9519,Down the Shore,Harold Guskin,3.18,"['Romance', 'Drama']",93.0,English,"Set on the Jersey shore, the lives of three childhood friends begin to unravel when a secret from their past is revealed",Unknown,520,301,76,0,13,126,7,378
9520,Mademoiselle,Tony Richardson,3.74,['Drama'],105.0,English,A sexually repressed school teacher releases her pent up passions in a series of shocking crimes.,"['Woodfall Film Productions', 'Procinex']",3166,3590,925,21,16,320,203,2081
9521,Sunshine Barry & the Disco Worms,Thomas Borch Nielsen,2.81,"['Family', 'Animation', 'Comedy']",79.0,Danish,"It's not easy to be Barry. An earthworm gets no respect. He lives at the bottom of the food chain. But one day, an old disco record turns his life upside down. Suddenly he sees before him his own destiny, the star of the world's greatest disco band: Sunshine Barry & The Disco Worms! Okay, he's got no arms, no rhythm and no band. But as Barry says: ""We'll do it anyway!""",['SF Studios'],3830,949,508,23,246,203,358,1805
9522,"Are You There God? It's Me, Margaret.",Kelly Fremon Craig,3.78,"['Drama', 'Comedy']",107.0,English,"When her family moves from New York City to New Jersey, an 11-year-old girl navigates new friends, feelings, and the beginning of adolescence.","['Gracie Films', 'Lionsgate']",288524,80374,96393,676,843,30914,24208,235797
9523,A Taste of Hunger,Christoffer Boe,3.09,"['Romance', 'Drama']",104.0,Danish,"Maggie and Carsten love each other, they have two wonderful children and run their own gourmet restaurant; Malus. They want it all. And they have it all. Almost. They are missing the coveted Michelin Star. It has been their dream, on which they gambled everything to win. One day Carsten receives a letter saying that his wife loves somebody else. But who sent the letter and why? In their continuous passion and pursuit for the ultimate recognition, they forget that the meals of life are best enjoyed together.",['Zentropa Entertainments'],2713,833,302,2,64,632,38,2029
9524,Vinyl Nation,"Kevin Smokler, Christopher Boone",3.3,"['Documentary', 'Music']",92.0,English,"The vinyl record renaissance over the past decade has brought new fans to a classic format and transformed our idea of a record collector: younger, both male and female, multicultural. This same revival has made buying music more expensive, benefited established bands over independent artists and muddled the question of whether vinyl actually sounds better than other formats. Vinyl Nation digs into the crates of the record resurgence in search of truths set in deep wax: Has the return of vinyl made music fandom more inclusive or divided? What does vinyl say about our past here in the present? How has the second life of vinyl changed how we hear music and how we listen to each other?",['Gilman Hall Pictures'],841,412,181,0,11,192,26,589
9525,13 Hours: The Secret Soldiers of Benghazi,Michael Bay,3.35,"['Thriller', 'War', 'Drama', 'Action', 'History']",144.0,English,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,"['Paramount Pictures', '3 Arts Entertainment', 'Bay Films']",141607,22938,26961,702,1321,23838,6777,99547
9526,Californy 'Er Bust,Jack Kinney,3.2,"['Comedy', 'Animation', 'Western']",8.0,English,"A narrator tells the story of how the Western pioneers (all being Goofy lookalikes) are travelling in covered wagons across the frontier. They run into some Indians (who are also Goofy lookalikes) and battle breaks out between them. Suddenly a tornado comes by and sweeps up the covered wagons, dropping them into various states such as ""Wash"", ""Organ"", and ""Californy.""","['Walt Disney Productions', 'RKO Radio Pictures']",514,464,41,0,16,90,8,255
9527,Cry of the Hunted,Joseph H. Lewis,3.17,"['Thriller', 'Crime']",80.0,English,A prison convict escapes through the Louisiana swamps.,['Metro-Goldwyn-Mayer'],1276,1106,239,0,2,360,8,917
9528,If I Had a Million,"James Cruze, H. Bruce Humberstone",3.31,"['Drama', 'Comedy']",88.0,English,"An elderly business tycoon, believed to be dying, decides to give a million dollars each to eight strangers chosen at random from the phone directory.",['Paramount Pictures'],2100,1595,384,0,8,486,40,1409
9529,Miss Congeniality,Donald Petrie,3.36,"['Crime', 'Comedy', 'Action']",111.0,English,"When the local FBI office receives a letter from a terrorist known only as 'The Citizen', it's quickly determined that he's planning his next act at the Miss America beauty pageant. Because tough-as-nails Gracie Hart is the only female Agent at the office, she's chosen to go undercover as the contestant from New Jersey.","['Village Roadshow Pictures', 'Castle Rock Entertainment', 'NPV Entertainment', 'Fortis Films', 'Warner Bros. Pictures']",664157,65651,122279,1800,4134,84730,38241,325867
9530,The Artifice Girl,Franklin Ritch,3.51,"['Mystery', 'Thriller', 'Science Fiction']",93.0,English,"A team of special agents discovers a revolutionary new computer program to bait and trap online predators. After teaming up with the program's troubled developer, they soon find that the AI is rapidly advancing beyond its original purpose.","['Paper Street Pictures', 'Last Resort Ideas', 'Blood Oath', 'XYZ Films']",16921,5164,4429,19,123,2782,768,14047
9531,32 Sounds,Sam Green,3.75,['Documentary'],95.0,English,"Explores the elemental phenomenon of sound and its power to bend time, cross borders, and profoundly shape our perception of the world around us.","['Impact Partners', 'Wavelength', 'Department of Motion Pictures', 'ArKtype']",3358,1476,1150,19,20,302,436,2270
9532,The Weather Underground,"Sam Green, Bill Siegel",3.63,['Documentary'],92.0,English,"The remarkable story of The Weather Underground, radical activists of the 1970s, and of radical politics at its best and most disastrous.",['The Free History Project'],3977,1957,608,3,7,520,137,2172
9533,Changeland,Seth Green,2.87,"['Comedy', 'Drama']",86.0,English,"Follow two estranged best friends on an epic, life-changing adventure in Thailand as they're reminded that there's no problem that friendship and a few rounds in a Muay Thai boxing ring can't fix.",['Stoopid Buddy Stoodios'],2941,957,506,6,111,596,67,2214
9534,Weird: The Al Yankovic Story,Eric Appel,3.49,"['Crime', 'Comedy', 'Music']",108.0,English,"Exploring every facet of ‘Weird Al’ Yankovic’s life, from his meteoric rise to fame with early hits like ‘Eat It’ and ‘Like a Surgeon’ to his torrid celebrity love affairs and famously depraved lifestyle, this biopic takes audiences on a truly unbelievable journey through Yankovic’s life and career, from gifted child prodigy to the greatest musical legend of all time.","['Tango Entertainment', 'Funny or Die', 'Ear Booker Productions', ""Famous Andy's""]",165346,35817,48136,206,1006,27589,9245,131446
9535,Godzilla: King of the Monsters,Michael Dougherty,2.83,"['Science Fiction', 'Action']",132.0,English,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.","['Legendary Pictures', 'Huahua Media', 'TOHO']",520148,76108,85224,1300,12991,93246,14157,347526
9536,The Robot Chicken Walking Dead Special: Look Who's Walking,Tom Sheppard,3.49,"['Animation', 'Comedy']",23.0,English,Seth Green and Matthew Senreich serve up hilarious Walking Dead-inspired satire in this special featuring the zany stop-motion animation of Adult Swim’s “Robot Chicken.”,"['Williams Street', 'Stoopid Monkey', 'Stoopid Buddy Stoodios', 'Adult Swim']",2484,409,582,2,15,333,225,1277
9537,Idle Hands,Rodman Flender,3.2,"['Comedy', 'Thriller', 'Horror', 'Fantasy']",92.0,English,"Anton is a cheerful but exceedingly non-ambitious 17-year-old stoner who lives to stay buzzed, watch TV, and moon over Molly, the beautiful girl who lives next door. However, it turns out that the old cliché about idle hands being the devil's playground has a kernel of truth after all.","['Licht/Mueller Film Corporation', 'Team Todd', 'Columbia Pictures', 'TriStar Pictures']",68969,22635,17191,330,862,11457,3329,42621
9538,John Mulaney: Baby J,Alex Timbers,3.85,['Comedy'],80.0,English,"A chaotic intervention. An action-packed stay in rehab. After a weird couple of years, John Mulaney comes out swinging in his return to the stage.",['Multiple Camera Productions'],109537,11208,35091,55,267,8330,8946,66058
9539,The Package,Andrew Davis,3.16,"['Thriller', 'Action', 'Crime']",108.0,English,"Experienced Green Beret sergeant Johnny Gallagher is escorting a prisoner, Airborne Ranger Thomas Boyette, back to the US, but Boyette escapes and Gallagher must risk life and limb to catch him.",['Orion Pictures'],9023,2904,1503,1,54,2667,68,6583
9540,Love Letter,Seijun Suzuki,3.36,['Romance'],40.0,Japanese,"A nightclub manager is in love with his pianist. However, she has a ranger boyfriend who's been permanently stationed in the mountain wilderness. Their only communication is by letter. As time passes the correspondence slows to a trickle. Then nothing. The manager persuades the girl to visit the boy. She does, but she's totally unprepared for her bizarre discovery.",['Nikkatsu Corporation'],330,308,83,0,0,82,11,208
9541,Kagero-za,Seijun Suzuki,3.77,"['Drama', 'Mystery', 'Romance']",139.0,Japanese,A 1920s playwright meets a beautiful woman who may be the ghost of his patron's deceased wife.,['Cinema Placet'],4615,5011,1446,44,19,468,365,3019
9542,Carmen from Kawachi,Seijun Suzuki,3.57,"['Romance', 'Drama']",89.0,Japanese,"Like a girl runaway, Tsuyu moves to Osaka to work as a bar hostess. She meets the owner of a model school, Yoko, and seriously thinks about becoming a fashion model. Yoko tells her that she can move in to Yoko’s house to take lessons, while making a living at the same time.",['Nikkatsu Corporation'],693,587,191,3,2,90,34,459
9543,Neo Tokyo,"Yoshiaki Kawajiri, Katsuhiro Otomo",3.72,"['Fantasy', 'Adventure', 'Science Fiction', 'Animation']",50.0,Japanese,"A trilogy of separate stories. In ""Labyrinth labyrinthos"", a girl and her cat enter a strange world. In ""Running Man"", a racer takes on the ultimate opponent. In ""Construction Cancellation Order"", a man must shut down worker robots.","['Project Team Argos', 'Madhouse', 'KADOKAWA Shoten', 'KADOKAWA']",14419,8052,4243,30,30,1674,822,8973
9544,A Tale of Sorrow and Sadness,Seijun Suzuki,3.63,['Drama'],93.0,Japanese,A rookie golfer must cope with the stress of fame after a marketing executive transforms her into a sports celebrity.,['Shochiku'],1403,1120,422,8,7,162,62,932
9545,Satan's Town,Seijun Suzuki,3.2685351873474158,['Crime'],79.0,Japanese,"A yakuza boss and his right-hand, Hawasaki, escape from prison. the film concentrates on their relationship, emphasizing loyalty and thier eventual betrayal, enroute they get involved in money trafficking, a cop killing and horse racing scams before the inevitable tragic ending. A patch-work production.",['Nikkatsu Corporation'],257,232,50,0,0,58,4,149
9546,Skinamarink,Kyle Edward Ball,2.85,['Horror'],100.0,English,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished.",['ERO Picture Company'],226110,65941,55635,1800,15244,29397,15419,182933
9547,Hollywood Shuffle,Robert Townsend,3.63,['Comedy'],81.0,English,"Aspiring actor and hot-dog stand employee Bobby Taylor catches the ire of his grandmother for auditioning for a role in the regrettably titled exploitation film ""Jivetime Jimmy's Revenge."" When Tinseltown Studios casts Taylor in the title role, he has a series of conflicted dreams satirizing African-American stereotypes in Hollywood, and must reconcile his career goals with his desire to remain a positive role model for his little brother.",['The Samuel Goldwyn Company'],15537,8345,4920,53,35,1918,673,10499
9548,Carmen,Benjamin Millepied,3.03,['Drama'],117.0,English,"A young and fiercely independent woman, Carmen, is forced to flee her home in the Mexican desert following the brutal murder of her mother. She survives an illegal border crossing into the US, only to be confronted by a lawless volunteer border guard. When the border guard and his patrol partner Aidan become embroiled in a deadly standoff, the pair is forced to escape together.","['Chapter 2', 'Goalpost Pictures', 'TF1 Studio', 'France 2 Cinéma', 'Marvelous Productions', 'Screen NSW', 'Adelaide Film Festival', 'Spectrum Films']",12632,4814,2506,14,348,2764,365,10433
9549,The Maiden,Graham Foy,3.6,"['Fantasy', 'Drama', 'Mystery']",117.0,English,"Amidst multiple disappearances, the lives of three suburban teenagers cosmically intertwine around their local ravine - as they grapple with grief, loneliness, and unexpected friendship.","['Medium Density Fibreboard Films', 'F F Films Inc.']",1842,1185,617,29,9,209,149,1251
9550,Better Luck Tomorrow,Justin Lin,3.59,"['Romance', 'Drama', 'Crime']",101.0,English,A group of over-achieving Asian-American high school seniors enjoy a power trip when they dip into extra-curricular criminal activities.,"['Cherry Sky Films', 'Day O Productions', 'Hudson River Entertainment', 'MTV Films', 'Trailing Johnson Productions', 'Paramount Pictures']",14989,5342,4101,133,48,2040,675,10428
9551,Anyox,"Jessica Johnson, Ryan Ermacora",3.2685351873474158,['Documentary'],87.0,English,"The film depicts the lives of the two sole residents of an abandoned company town while unfolding a complex labour history and revealing the vestiges of environmental degradation. Combining large format cinematography and an inquiry into the archival record, it interlaces past and present.",Unknown,293,189,96,2,7,22,15,137
9552,Baise-moi,"Virginie Despentes, Coralie Trinh Thi",2.67,"['Thriller', 'Drama', 'Crime']",77.0,French,"Nadine and Manu are two mad women, as tidy as can be, almost perfectionists. They have several things in common: extreme sex, drugs, beer and the trigger. They find the solution to their problems with guns and beware to those who dare to get in their way!","['Toute Premiere Fois', 'Pan Européenne Productions', 'Canal+']",15292,8317,1985,54,995,1707,351,9109
9553,Man Bites Dog,"Rémy Belvaux, André Bonzel",3.79,"['Comedy', 'Crime']",96.0,French,"The activities of rampaging, indiscriminate serial killer Ben are recorded by a willingly complicit documentary team, who eventually become his accomplices and active participants. Ben provides casual commentary on the nature of his work and arbitrary musings on topics of interest to him, such as music or the conditions of low-income housing, and even goes so far as to introduce the documentary crew to his family. But their reckless indulgences soon get the better of them.",['Les Artistes Anonymes'],77362,34804,20535,871,579,6837,5650,52050
9554,Tetsuo: The Iron Man,Shinya Tsukamoto,3.87,"['Horror', 'Science Fiction']",67.0,Japanese,"A ""metal fetishist"", driven mad by the maggots wriggling in the wound he's made to embed metal into his flesh, runs out into the night and is accidentally run down by a Japanese businessman and his girlfriend. The pair dispose of the corpse in hopes of quietly moving on with their lives. However, the businessman soon finds that he is now plagued by a vicious curse that transforms his flesh into iron.",['Kaijyu Theater'],132477,68302,47523,2500,1003,11766,16899,93230
9555,Superstar: The Karen Carpenter Story,Todd Haynes,4.03,"['Drama', 'Music', 'Animation']",43.0,English,"The final 17 years of American singer and musician Karen Carpenter, performed almost entirely by modified Barbie dolls.",['Iced Tea Productions'],18739,9228,7043,127,37,868,2423,11156
9556,Café Flesh,Stephen Sayadian,3.47,"['Drama', 'Comedy', 'Science Fiction']",74.0,English,"In the future, humans are divided into Sex Negatives and Sex Positives. The negatives get sick if they have sex so they go to Café Flesh to see positives who are forced to perform on stage for the negatives. Lana is a positive who everyone thinks is a negative and she must decide whether to come clean or not.",['VCA Pictures'],1873,1843,553,8,15,215,118,1085
9557,Freak Orlando,Ulrike Ottinger,3.58,"['Comedy', 'Fantasy']",126.0,German,"FREAK ORLANDO is divided into five more-or-less distinct sections, all featuring ""Freak"" Orlando, a woman, played by the late Magdalena Montezuma, who appears in various guises, and deformities, throughout.","['Ulrike Oettinger Filmproduktion', 'Pia Frankenberg Filmproduktion, Hamburg', 'ZDF']",2735,3548,794,24,27,266,173,1593
9558,The Gods Must Be Crazy,Jamie Uys,3.41,"['Action', 'Comedy']",109.0,English,A Coca-Cola bottle dropped from an airplane raises havoc among a normally peaceful tribe of African bushmen who believe it to be a utensil of the gods.,"['CAT Films', 'Mimosa Films']",49925,8400,8037,167,483,6312,1921,25468
9559,Debbie Does Dallas,Jim Buckley,3.08,['Comedy'],80.0,English,"Debbie Benton is the captain of her high school cheerleading squad, and has been accepted to try out for the Texas Cowgirls. Her parents disapprove, though, and refuse to pay the fare to Texas. In a bid to help Debbie, her cheerleader friends Lisa, Roberta, Tammy, Pat, and Annie decide to accompany her to Texas. They have two weeks to raise the money, and swear off any sexual activity with their boyfriends and form a company, called ""Teen Services"", offering help.",['School Day Films'],1297,1183,170,5,40,209,28,684
9560,Emanuelle and the Last Cannibals,Joe D'Amato,2.74,"['Horror', 'Adventure']",93.0,Italian,Intrepid photographer Emanuelle is taken deep into the Amazonian jungle to search for a cannibalistic tribe long believed to be extinct.,"['Flora Film', 'Gico Cinematografica S.r.L.', 'Fulvia Cinematografica']",3632,3403,634,1,138,688,66,2528
9561,Welcome Home Brother Charles,Jamaa Fanaka,3.24,"['Thriller', 'Action', 'Crime']",103.0,English,"After wrongly doing time in prison for murder, a man seeks revenge on a racist law enforcement system and the detective who framed him.",['Bob-Bea Productions'],1759,2244,494,1,25,266,44,1223
9562,The House with Laughing Windows,Pupi Avati,3.57,"['Thriller', 'Mystery', 'Horror']",110.0,Italian,"A young restorer is commissioned to save a fresco representing the suffering of St. Sebastiano, which was painted on the wall of a local church by a mysterious, long-dead artist.",['A.M.A. Film'],14513,9643,3982,78,59,1790,874,10435
9563,Deadly Weapons,Doris Wishman,2.69,"['Crime', 'Drama']",75.0,English,"After the mob hits a guy with a list, one of the hoods keeps the list for himself to blackmail the people on it. When the mobsters find out he's a double-crosser, they off him, which angers his busty girlfriend. She goes after them using the only two weapons she has.",['Juri Productions'],3391,2473,753,3,169,472,108,2224
9564,Emmanuelle,Just Jaeckin,2.55,"['Drama', 'Romance']",95.0,French,An employee at the French Embassy in Bangkok invites his wife to join him – and enjoy the benefits of their open marriage.,"['Orphée Productions', 'Trinacra Films']",9889,4656,819,18,517,1191,102,5681
9565,Don't Torture a Duckling,Lucio Fulci,3.66,['Horror'],105.0,Italian,A reporter and a promiscuous young woman try to solve a series of child killings in a remote southern Italian town rife with superstition and a distrust of outsiders.,['Medusa Produzione'],32180,22650,9823,100,105,3798,1920,23889
9566,She Killed in Ecstasy,Jesús Franco,3.24,['Horror'],73.0,German,"A young doctor kills himself after a medical committee terminates his research into human embryos, considering it too inhumane. His wife then seeks revenge on those who drove her husband to his death by luring each member of the committee into compromising situations and then killing them one by one.",['Tele-Cine Film- und Fernsehproduktion'],5228,4764,1440,16,74,942,213,3658
9567,Manos: The Hands of Fate,Harold P. Warren,1.64,['Horror'],70.0,English,"A family gets lost on the road and stumbles upon a hidden, underground, devil-worshiping cult led by the fearsome Master and his servant Torgo.","['Norm-Iris', 'Emerson Film Enterprises', 'Sun City Films']",25305,9764,3704,52,3768,770,718,15218
9568,Flaming Creatures,Jack Smith,3.1,"['Comedy', 'Fantasy', 'Horror']",42.0,English,"Filmmaker and artist Jack Smith described his own film as a “comedy set in a haunted movie studio.” Flaming Creatures begins humorously enough with several men and women, mostly of indeterminate gender, vamping it up in front of the camera and participating in a mock advertisement for an indelible, heart-shaped brand of lipstick. However, things take a dark, nightmarish turn when a transvestite chases, catches and begins molesting a woman. Soon, all of the titular “creatures” participate in a (mostly clothed) orgy that causes a massive earthquake. After the creatures are killed in the resulting chaos, a vampire dressed like an old Hollywood starlet rises from her coffin to resurrect the dead. All ends happily enough when the now undead creatures dance with each other, even though another orgy and earthquake loom over the end title card.",Unknown,6166,8933,1145,15,205,556,268,2966
9569,Two Thousand Maniacs!,Herschell Gordon Lewis,3.07,['Horror'],87.0,English,Six people are lured into a small Deep South town for a Centennial celebration where the residents proceed to kill them one by one as revenge for the town's destruction during the Civil War.,"['Jacqueline Kay', 'Friedman-Lewis Productions']",9606,7971,2196,12,181,1899,271,6494
9570,Tell Your Children,Louis J. Gasnier,2.07,['Drama'],66.0,English,"High-school principal Dr. Alfred Carroll relates to an audience of parents that marijuana can have devastating effects on teens: a drug supplier entices several restless teens, Mary and Jimmy Lane, sister and brother, and Bill, Mary's boyfriend, into frequenting a reefer house. Gradually, Bill and Jimmy are drawn into smoking dope, which affects their family lives.",['George A. Hirliman Productions'],18750,6984,2203,11,2579,1201,321,10409
9571,Mascara,Patrick Conrad,3.2685351873474158,"['Thriller', 'Mystery', 'Horror']",94.0,Dutch,"A respected police commissioner has a reputation as a opera lover, but by night he also enjoys plunging into the transvestite scene. In addition, he harbors a longing for his very own sister. When he learns that his wife has been murdered, he tries to implicate the set designer who has designs on his sister.","['Atlantic Consolidated Enterprises (ACE)', 'Dédalus', 'Iblis Films', 'Praxino Pictures', 'The Cannon Group']",189,645,32,0,4,31,7,118
9572,Flaming Ears,"Ursula Pürrer, A. Hans Scheirl",3.27,"['Science Fiction', 'Fantasy']",84.0,German,"In the year 2700, a comic book artist encounters a mysterious alien while seeking revenge against the pyromaniac who burned down her printing presses.",['LOOP TV-Video-Film'],1953,1945,575,6,31,290,77,1174
9573,Jack Be Nimble,Garth Maxwell,3.09,"['Horror', 'Thriller']",95.0,English,"Jack and Dora, abandoned by their parents as babies, are desperate to find each other after years of adoption. Jack's young life has been spent with a sadistic family. Dora, whose life has been somewhat better, has developed extra-sensory powers which tell her that Jack's in danger and drives her to search for him.","['Essential Productions', 'New Zealand Film Commission']",1285,1226,282,1,26,277,21,958
9574,The Strangeness,Melanie Anne Phillips,2.58,"['Mystery', 'Horror']",93.0,English,"A group of young miners venture into the Gold Spike Mine in search of gold, even after being warned by old-time prospectors to stay away. The miners proceed into the caverns anyway and soon realize that there’s no gold in these mines, but also that they’re not alone.","['Stellarwind', 'Trans World Entertainment']",1500,1354,234,1,91,243,10,1112
9575,Night of the Dark Full Moon,Theodore Gershuny,2.79,"['Horror', 'Mystery', 'Thriller']",85.0,English,"A man investigates the grisly crimes that occurred in a former insane asylum, unsettling the locals who all seem to have something to hide.","['Zora Investments Associates', 'Armor Films Inc.', 'Jeffrey Konvitz Productions', 'The Cannon Group']",7595,7377,1406,6,220,1529,99,5383
9576,Dandy Dust,A. Hans Scheirl,3.51,"['Science Fiction', 'Animation']",94.0,English,"Dust, a split-personality cyborg of fluid gender, zooms through time and space in search of his/her own memories and a sense of understanding. S/he travels from the Planet of White Dust where war is constant, to the Planet of Blood and Swelling, a hybrid of his/her father’s body.",Unknown,741,1727,270,7,12,73,90,440
9577,Grey Knight,George Hickenlooper,2.93,"['War', 'Drama', 'Horror']",83.0,English,"During the Civil War, Confederate soldiers accidentally free an evil voodoo entity brought back by slave traders. The entity possesses the dead bodies of both Union and Confederate soldiers creating an army of its own bent on conquest.",Unknown,332,668,32,0,17,50,3,236
9578,Rough Draft,Joshua Wallace,3.2685351873474158,"['Horror', 'Drama', 'Thriller']",95.0,English,"A struggling freelance writer, while investigating the transvestite night life, stumbles across a serial killer in action. The two then strike up a bizarre partnership to document the killer's motives and handiwork as a possessed detective struggling with his own personal demons tries to solve the crimes.","['Unapix Entertainment Productions', 'Goldbar International']",237,320,19,0,27,24,1,161
9579,Sometimes They Come Back... Again,Adam Grossman,2.41,['Horror'],98.0,English,Jon Porter returns to his hometown after the sudden and bizarre death of his mother. He hopes to leave as soon as the funeral is over but it's too late. The sinister forces that caused his sister's brutal murder 30 years ago are back. Jon knows the nightmare can't continue. He must stand up to his fear and exorcise the demons who have risen again to take posession of his beautiful teenage daughter - body and soul.,['Trimark Pictures'],3331,1892,338,0,185,387,24,1864
9580,Children of the Corn V: Fields of Terror,Ethan Wiley,2.04,"['Horror', 'Thriller']",83.0,English,Six college students take a wrong turn and find themselves lost in a strangely deserted rural town... only to discover that this deceptively quiet place hides a murderous cult of children.,"['Dimension Films', 'Blue Rider Pictures']",5785,4161,457,0,722,420,88,3825
9581,Deathwatch,M.J. Bassett,3.0,"['Horror', 'Drama', 'War', 'Thriller']",94.0,English,"In the brutal trench fighting of the First World War, a British Infantry Company is separated from their regiment after a fierce battle. Attempting to return to their lines, the British soldiers discover what appears to be a bombed out German trench, abandoned except for a few dazed German soldiers. After killing most of the Germans, and taking one prisoner, the British company fortifies to hold the trench until reinforcements can arrive. Soon, however, strange things being to happen as a sense of evil descends on the trench and the British begin turn on each other.","['Q&Q Medien', 'Portobello Pictures', 'Bavaria Film', 'Odyssey Entertainment', 'ApolloMedia', 'Film and Music Entertainment']",5677,2582,750,6,91,1179,55,3672
9582,Solomon Kane,M.J. Bassett,2.79,"['Adventure', 'Action', 'Fantasy']",104.0,English,"A nomadic 16th century warrior, condemned to hell for his brutal past, seeks redemption by renouncing violence, but finds some things are worth burning for as he fights to free a young Puritan woman from the grip of evil.","['Davis Films', 'Czech Anglo Pictures', 'Wandering Star Pictures', 'Essential Entertainment']",26195,4157,3016,15,773,4805,324,16572
9583,Bad Inclination,Pierfrancesco Campanella,3.2685351873474158,"['Crime', 'Horror', 'Thriller']",95.0,Italian,"When a bloodthirsty serial killer begins murdering women with a carpenter’s set square, the story becomes a media sensation, inspiring kooks from all over the city to attempt to cash in on the publicity.",['Bell Film'],150,591,14,0,16,18,0,94
9584,Bad Blood,Mike Newell,3.2685351873474158,"['Thriller', 'Drama']",105.0,English,"During World War 2, a farmer in New Zealand murders seven people. The police, along with local Maori trackers, hunt him in the bush country.",Unknown,280,401,43,0,1,50,3,180
9585,Vigil,Vincent Ward,3.55,['Drama'],90.0,English,"Toss lives on a sheep farm with her father in New Zealand. When Toss's father dies in an accident, Ethan, an itinerant hunter, wanders onto the family farm and is given a job by her grandfather. Toss's fairly innocent relationship with Ethan is severed when he forms a relationship with her mother.",Unknown,1912,1675,495,10,10,266,83,1284
